user name,comments
madhura_makeupnhair,Can’t wait for season 2!!!
"battatawada
Verified",Verified
abby_racer20,@harshita1210 Miss Sanyukta.. wat abt Sadda Haq??
mirahul03,Kab aayegi मिर्ज़ापुर
harshitasinha122,Yayyy 🤗🤗🤗
nikkhiillllll,@divyenndu
samannawaj123,I am Big Fan of Mirzapur Series
_beingasifkhan,Aur kitna wait karaoge yrr tum log abhi bhabhi or raja ka Scene dekh ke kaam chalana padta hai
harshitasinha122,💞
harshitasinha122,👌👌👌
harshitasinha122,👌👌👌
krishna_akkian,25 September may be
siyasingh2801,😍😍
siyasingh2801,Wai
siyasingh2801,Waiting baby❤️❤️
siyasingh2801,Plz be safe love....take care of yourself❤️❤️
sagarnitesh55,Oh my god😍😘 you are so lovely !❤️
harsh_k_pvt,Most awating❤️😭
iamsudipamanna,❤️
dharmesh.dy,Excited 😍
krishnagopal.paul_official,"*Do you want to Any kind of portrait or painting wall painting ect. ?* click on the below *link*__ follow and D.M Or sms in there. _Your request will be accepted as soon as possible_ Please, support us and Shear more groups.. 😊🙏🏻?. . *Will get 20%to 30% OFF* 🤩 Offer limited *HURRY UP* *Terms and condition applied* https://www.instagram.com/krishnagopal.paul_official/"
babukha20,Oho Didi congratulation😘😘😘
babukha20,I am your big fan
babukha20,Please reply me
the_yashwant_pargi,"Kab aa raha hai , date bataiye please"
theasifsheikhsahab121,❤️❤️
harshitalovers,Can't wait 😍❤️❤️❤️
harshitalovers,All the best @harshita1210 😍❤️
harshitalovers,Excited 😍❤️❤️❤️
harshitalovers,❤️❤️❤️
harshitalovers,❤️❤️❤️
harshitalovers,❤️❤️
ambika_792,❤️❤️
harshita_gaur_memes,All the best @harshita1210 😍❤️
harshita_gaur_memes,Dimpy ❤️
harshita_gaur_memes,❤️❤️❤️
priyaroy1430,Awesome & very nice 👌👌👌.... we are love u ❤❤❤
mukeshchoudhary930,Nice
insanelyharshitian,Awwwwww😘😘😘
insanelyharshitian,Cant wait 😍
insanelyharshitian,All the best💗💗
yagneshsatpute,🔥
shirinmansuri31,😍😍😍
nilamparmar2324,Cutieee 🖤🖤🖤🖤🔥🔥🔥🔥
_d_abhishek_,Common @harshita1210 ab bta bhi do mirzapur2 ki date 😌🤗
himanshu_.saini,Give us the damn dates 😍
makeupbynidhikaushal,That’s amazing @harshita1210 👌🏻👌🏻
a.nike.t_ac_18,Bas jaldi aa jao.. 😍😍
shubhamnagre14,@harshita1210 Eagarly waiting dimppy❤️
mannat_manik_123,🔥🔥🔥
manoj__more__,Finally .. Intejar khatam ..😉😘😘 Love you harsha 😘😘
manoj__more__,So excited 💗💗
shawji_vivaan,🔥
sumit_arya450,Are yaar kab ayega
sumit_arya450,Pls sacred games jaisa hag mat dena
mrshoaib0221,You ❣️❣️
zoobearz,@farooqak @tvora23 @sarfz #ujaarsurat
rahul.rajsingh.35,Jali release kro mzs2
sahilakascorpio,स्वागत करेंगे आपका
shiyaldarshan,Nice...
